1	2	3	4	5	6	7	8	9	10	11	12	13
305	3	4	9	10	-0.8256	-0.8099	0.3105	0.1674	-0.01567	-1.635	0.2416	0.4364
305	3	4	9	11	-1.253	-1.014	0.3268	0.2913	-0.2382	-2.267	0.433	0.4426
305	3	4	9	12	-0.9284	-0.9162	0.3365	0.19	-0.0122	-1.845	0.3526	0.4176
305	3	4	9	13	-1.987	-0.4859	0.357	0.2653	-1.501	-2.473	0.3969	0.488
305	3	4	9	14	-0.9379	-0.4486	0.2555	0.1575	-0.4893	-1.387	0.2152	0.3658
305	3	4	9	15	0.3993	1.142	0.3711	0.1674	-0.7427	1.541	0.303	0.4895
305	3	4	9	16	0.5522	1.641	0.2621	0.484	-1.088	2.193	0.3954	0.6706
305	3	4	10	1	-1.088	2.333	0.3971	0.6088	-3.422	1.245	0.8805	0.5305
305	3	4	10	2	-1.977	0.3424	0.2017	0.2102	-2.32	-1.635	0.2942	0.2885
305	3	4	10	3	-22.92	6.201	14.72	8.903	-29.12	-16.72	22.4	9.479
305	3	4	10	4	-1.617	1.336	0.1699	0.2178	-2.952	-0.281	0.1827	0.3453
305	3	4	10	5	2.453	-22.56	22.26	17.87	25.01	-20.11	39.09	10.11
305	3	4	10	6	-2.862	0.7573	0.2075	0.2123	-3.62	-2.105	0.2386	0.3454
305	3	4	10	7	-1.82	1.559	0.1737	0.1305	-3.378	-0.2611	0.1552	0.2652
305	3	4	10	8	-1.941	0.3482	0.1845	0.1712	-2.289	-1.593	0.2258	0.2752
305	3	4	10	9	-1.943	0.4339	0.2829	0.1702	-2.377	-1.509	0.2962	0.3611
305	3	4	10	10	-0.8949	0.9591	0.1895	0.1925	-1.854	0.06422	0.1876	0.3328
305	3	4	10	11	-2.181	-0.1933	0.3973	0.242	-1.988	-2.375	0.3686	0.5449
305	3	4	10	12	-0.4561	1.523	0.3156	0.2247	-1.979	1.067	0.2167	0.5032
305	3	4	10	13	-2.484	-0.3518	0.3316	0.2809	-2.132	-2.836	0.4115	0.4564
305	3	4	10	14	-1.145	0.7836	0.2869	0.2411	-1.929	-0.3616	0.2076	0.4877
305	3	4	10	15	-1.215	0.7584	0.3217	0.1488	-1.973	-0.4565	0.2522	0.4332
305	3	4	10	16	-0.2835	0.3081	0.4192	0.3659	-0.5916	0.02469	0.3254	0.7165
