X[s],"R GASTROCNEMIUS LATERAL HEAD: EMG 13",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.X",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Y",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Z",X[s],"R GASTROCNEMIUS MEDIAL HEAD: EMG 14",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.X",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Y",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Z"
0.05607693,-1.02388E-05,0.729,0.8580453,0.729,-0.2417029,0.729,0.0886244,0.05607693,9.063859E-06,0.729,0.9547265,0.729,0.1329366,0.729,0.306157
0.05659616,-8.560311E-06,0.73575,0.8580453,0.73575,-0.2417029,0.73575,0.08056764,0.05659616,9.231708E-06,0.73575,0.9587549,0.73575,0.1329366,0.73575,0.306157
0.05711538,-9.903106E-06,0.7425,0.8580453,0.7425,-0.2417029,0.7425,0.09265278,0.05711538,9.567407E-06,0.7425,0.9547265,0.7425,0.136965,0.7425,0.3021286
0.05763461,-1.258869E-05,0.74925,0.8580453,0.74925,-0.2457313,0.74925,0.08459602,0.05763461,9.399557E-06,0.74925,0.9587549,0.74925,0.1289082,0.74925,0.306157
0.05815385,-1.359579E-05,0.756,0.8540169,0.756,-0.2457313,0.756,0.07251087,0.05815385,1.007095E-05,0.756,0.9627832,0.756,0.1289082,0.756,0.3101854
0.05867308,-1.426719E-05,0.76275,0.8580453,0.76275,-0.2457313,0.76275,0.08459602,0.05867308,9.903106E-06,0.76275,0.9587549,0.76275,0.1329366,0.76275,0.3021286
0.05919231,-1.292439E-05,0.7695,0.8620737,0.7695,-0.2497597,0.7695,0.08459602,0.05919231,6.54612E-06,0.7695,0.9547265,0.7695,0.1289082,0.7695,0.2981002
0.05971154,-1.107805E-05,0.77625,0.8540169,0.77625,-0.2457313,0.77625,0.0886244,0.05971154,4.196231E-06,0.77625,0.9627832,0.77625,0.1248798,0.77625,0.306157
0.06023077,-8.89601E-06,0.783,0.8540169,0.783,-0.2417029,0.783,0.08056764,0.06023077,5.874724E-06,0.783,0.9627832,0.783,0.1248798,0.783,0.306157
0.06075,-8.89601E-06,0.78975,0.8540169,0.78975,-0.2417029,0.78975,0.0886244,0.06075,9.231708E-06,0.78975,0.9627832,0.78975,0.1248798,0.78975,0.2940719
0.06126923,-1.02388E-05,0.7965,0.8580453,0.7965,-0.2497597,0.7965,0.08056764,0.06126923,1.05745E-05,0.7965,0.9506981,0.7965,0.1289082,0.7965,0.2981002
0.06178846,-1.09102E-05,0.80325,0.8540169,0.80325,-0.2417029,0.80325,0.08056764,0.06178846,8.224613E-06,0.80325,0.9506981,0.80325,0.1208515,0.80325,0.2981002
0.06230769,-1.242084E-05,0.81,0.8580453,0.81,-0.2417029,0.81,0.08459602,0.06230769,7.553216E-06,0.81,0.9426414,0.81,0.1329366,0.81,0.2981002
0.06282692,-1.309224E-05,0.81675,0.8620737,0.81675,-0.2417029,0.81675,0.0886244,0.06282692,1.02388E-05,0.81675,0.9506981,0.81675,0.1248798,0.81675,0.3021286
0.06334615,-1.326009E-05,0.8235,0.8580453,0.8235,-0.2457313,0.8235,0.0886244,0.06334615,1.05745E-05,0.8235,0.9547265,0.8235,0.1289082,0.8235,0.3101854
0.06386539,-1.19173E-05,0.83025,0.8580453,0.83025,-0.2376745,0.83025,0.0886244,0.06386539,8.89601E-06,0.83025,0.9547265,0.83025,0.1329366,0.83025,0.3101854
0.06438462,-1.107805E-05,0.837,0.8540169,0.837,-0.2417029,0.837,0.09265278,0.06438462,7.217517E-06,0.837,0.9506981,0.837,0.1329366,0.837,0.2981002
0.06490385,-1.15816E-05,0.84375,0.8580453,0.84375,-0.2376745,0.84375,0.09265278,0.06490385,7.217517E-06,0.84375,0.9506981,0.84375,0.1289082,0.84375,0.3101854
0.06542308,-1.107805E-05,0.8505,0.8540169,0.8505,-0.2497597,0.8505,0.08459602,0.06542308,7.888914E-06,0.8505,0.9547265,0.8505,0.1329366,0.8505,0.3101854
0.06594231,-1.15816E-05,0.85725,0.8620737,0.85725,-0.2417029,0.85725,0.08056764,0.06594231,8.89601E-06,0.85725,0.9587549,0.85725,0.1289082,0.85725,0.306157
0.06646154,-1.376364E-05,0.864,0.8580453,0.864,-0.2376745,0.864,0.08056764,0.06646154,9.063859E-06,0.864,0.9547265,0.864,0.1208515,0.864,0.306157
0.06698077,-1.208515E-05,0.87075,0.8540169,0.87075,-0.2417029,0.87075,0.08459602,0.06698077,8.728161E-06,0.87075,0.9627832,0.87075,0.1329366,0.87075,0.306157
0.0675,-1.007095E-05,0.8775,0.8540169,0.8775,-0.2417029,0.8775,0.08459602,0.0675,9.231708E-06,0.8775,0.9506981,0.8775,0.1289082,0.8775,0.306157
0.06801923,-9.735257E-06,0.88425,0.8499885,0.88425,-0.2376745,0.88425,0.08459602,0.06801923,1.09102E-05,0.88425,0.9547265,0.88425,0.1248798,0.88425,0.3142138
0.06853846,-1.107805E-05,0.891,0.8540169,0.891,-0.2457313,0.891,0.08056764,0.06853846,1.19173E-05,0.891,0.9627832,0.891,0.1248798,0.891,0.306157
0.0690577,-1.292439E-05,0.89775,0.8580453,0.89775,-0.2376745,0.89775,0.08459602,0.0690577,9.903106E-06,0.89775,0.9587549,0.89775,0.1289082,0.89775,0.3101854
0.06957693,-1.359579E-05,0.9045,0.8620737,0.9045,-0.2376745,0.9045,0.08056764,0.06957693,9.063859E-06,0.9045,0.9547265,0.9045,0.1289082,0.9045,0.306157
